sample,condition,location,day
GSM1493357,stem,dorsal,4
GSM1493358,stem,dorsal,4
GSM1493359,stem,dorsal,4
GSM1493360,stem,dorsal,4
GSM1493361,stem,dorsal,4
GSM1493362,stem,dorsal,4
GSM1493363,stem,dorsal,4
GSM1493364,stem,dorsal,4
GSM1493365,stem,lateral,4
GSM1493366,stem,lateral,4
GSM1493367,stem,lateral,4
GSM1493368,stem,lateral,4
GSM1493369,stem,lateral,4
GSM1493370,stem,lateral,4
GSM1493371,stem,lateral,4
GSM1493372,stem,dorsal,8
GSM1493373,stem,dorsal,8
GSM1493374,stem,lateral,8
GSM1493375,stem,lateral,8
GSM1493376,stem,dorsal,11
GSM1493377,stem,dorsal,11
GSM1493378,stem,lateral,11
GSM1493379,stem,lateral,11
GSM314038,neuron,null,0
GSM314039,neuron,null,0
GSM314040,neuron,null,0
GSM314042,neuron,null,0
GSM314043,neuron,null,0
GSM314044,neuron,null,0
GSM314045,neuron,null,0
GSM314046,neuron,null,0
GSM314047,neuron,null,0
GSM314048,neuron,null,0